,id,element,type,gen,step,min_lvl_min_atk,min_lvl_max_atk,max_lvl_min_atk,max_lvl_max_atk,min_lvl_min_def,min_lvl_max_def,max_lvl_min_def,max_lvl_max_def,min_lvl_min_hp,min_lvl_max_hp,max_lvl_min_hp,max_lvl_max_hp
id,5,Fire,Attack,1,Capsule,5,19,137,283,5,19,49,107,60,109,280,505
id,5,Fire,Attack,1,Awakening,10,29,98,337,10,29,54,117,60,109,148,329
id,5,Fire,Attack,1,Transcendence,25,25,113,245,25,25,69,157,139,139,403,755
id,5,Fire,Attack,1,Advent,101,210,116,285,180,116,195,161,532,591,547,876
id,6,Fire,Air,1,Know,9,19,53,151,7,14,51,102,99,199,275,595
id,6,Fire,Air,1,Capsule,5,19,93,239,5,19,49,107,60,109,456,681
id,6,Fire,Air,1,Awakening,10,29,142,249,10,29,54,117,60,109,324,681
id,6,Fire,Air,1,Transcendence,25,25,113,245,25,25,25,113,139,139,579,931
id,6,Fire,Air,1,Advent,162,187,177,262,73,88,88,133,670,750,685,1080
id,7,Fire,Air,1,Know,8,17,52,149,6,12,50,100,89,179,265,575
id,7,Fire,Air,1,Capsule,5,19,93,239,5,19,49,107,60,109,456,681
id,7,Fire,Air,1,Awakening,10,29,142,249,10,29,54,117,60,109,324,681
id,7,Fire,Air,1,Transcendence,25,25,113,245,25,25,25,113,139,139,579,931
id,7,Fire,Air,1,Advent,162,187,177,262,73,88,88,133,670,750,685,1080
id,8,Fire,Attack,1,Know,8,17,52,149,6,12,50,100,89,179,265,575
id,8,Fire,Attack,1,Capsule,5,19,137,283,5,19,49,107,60,109,280,505
id,8,Fire,Attack,1,Awakening,10,29,98,337,10,29,54,117,60,109,148,329
id,8,Fire,Attack,1,Transcendence,25,25,113,245,25,25,69,157,139,139,403,755
id,8,Fire,Attack,1,Advent,101,210,116,285,180,116,195,161,532,591,547,876
id,9,water,Attack,1,Know,9,19,53,151,7,14,51,102,99,199,275,595
id,9,water,Attack,1,Capsule,5,19,137,283,5,19,49,107,60,109,280,505
id,9,water,Attack,1,Awakening,10,29,98,337,10,29,54,117,60,109,148,329
id,9,water,Attack,1,Transcendence,25,25,113,245,25,25,69,157,139,139,403,755
id,9,water,Attack,1,Advent,101,210,116,285,180,116,195,161,532,591,547,876
id,10,water,Health,1,Know,8,17,52,149,6,12,50,100,89,179,265,575
id,10,water,Health,1,Capsule,5,19,93,151,5,19,49,107,60,109,588,1033
id,10,water,Health,1,Awakening,10,29,98,205,10,29,54,117,60,109,500,857
id,10,water,Health,1,Transcendence,25,25,69,157,25,25,69,157,139,139,579,1107
id,10,water,Health,1,Advent,116,131,131,176,116,131,131,176,727,847,742,1252
id,11,water,Chebang,1,Know,8,17,52,149,6,12,50,100,89,179,265,575
id,11,water,Chebang,1,Capsule,5,19,93,151,5,19,49,195,60,109,456,681
id,11,water,Chebang,1,Awakening,10,29,54,117,10,29,142,249,60,109,324,681
id,11,water,Chebang,1,Transcendence,25,25,25,113,25,25,113,245,139,139,579,931
id,11,water,Chebang,1,Advent,73,88,88,133,162,187,177,262,670,750,685,1080
id,12,water,Chebang,1,Know,8,17,52,149,6,12,50,100,89,179,265,575
id,12,water,Chebang,1,Capsule,5,19,93,151,5,19,49,195,60,109,456,681
id,12,water,Chebang,1,Awakening,10,29,54,117,10,29,142,249,60,109,324,681
id,12,water,Chebang,1,Transcendence,25,25,25,113,25,25,113,245,139,139,579,931
id,12,water,Chebang,1,Advent,73,88,88,133,162,187,177,262,670,750,685,1080
id,13,Earth,Air,1,Know,8,17,52,149,6,12,50,100,89,179,265,575
id,13,Earth,Air,1,Capsule,5,19,93,239,5,19,49,107,60,109,456,681
id,13,Earth,Air,1,Awakening,10,29,142,249,10,29,54,117,60,109,324,681
id,13,Earth,Air,1,Transcendence,25,25,113,245,25,25,25,113,139,139,579,931
id,13,Earth,Air,1,Advent,162,187,177,262,73,88,88,133,670,750,685,1080
id,14,Earth,Attack,1,Know,9,19,53,151,7,14,51,102,99,199,275,595
id,14,Earth,Attack,1,Capsule,5,19,137,283,5,19,49,107,60,109,280,505
id,14,Earth,Attack,1,Awakening,10,29,98,337,10,29,54,117,60,109,148,329
id,14,Earth,Attack,1,Transcendence,25,25,113,245,25,25,69,157,139,139,403,755
id,14,Earth,Attack,1,Advent,101,210,116,285,180,116,195,161,532,591,547,876
id,15,Earth,Defense,1,Know,8,17,52,149,6,12,50,100,89,179,265,575
id,15,Earth,Defense,1,Capsule,5,19,93,151,5,19,93,239,60,109,280,505
id,15,Earth,Defense,1,Awakening,10,29,98,161,10,29,54,293,60,109,148,329
id,15,Earth,Defense,1,Transcendence,25,25,69,157,25,25,113,245,139,139,403,755
id,15,Earth,Defense,1,Advent,125,140,140,185,178,208,193,283,473,530,488,785
id,16,Earth,Defense,1,Know,8,17,52,149,6,12,50,100,89,179,265,575
id,16,Earth,Defense,1,Capsule,5,19,93,151,5,19,93,239,60,109,280,505
id,16,Earth,Defense,1,Awakening,10,29,98,161,10,29,54,293,60,109,148,329
id,16,Earth,Defense,1,Transcendence,25,25,69,157,25,25,113,245,139,139,403,755
id,16,Earth,Defense,1,Advent,125,140,140,185,178,208,193,283,473,530,488,785
id,17,water,Attack,1,Know,8,17,52,149,6,12,50,100,89,179,265,575
id,17,water,Attack,1,Capsule,5,19,137,283,5,19,49,107,60,109,280,505
id,17,water,Attack,1,Awakening,10,29,98,337,10,29,54,117,60,109,148,329
id,17,water,Attack,1,Transcendence,25,25,113,245,25,25,69,157,139,139,403,755
id,17,water,Attack,1,Advent,101,210,116,285,180,116,195,161,532,591,547,876
id,18,wind,Chebang,1,Know,14,29,58,161,7,14,51,102,99,199,275,595
id,18,wind,Chebang,1,Capsule,5,19,93,151,5,19,49,195,60,109,456,681
id,18,wind,Chebang,1,Awakening,10,29,54,117,10,29,142,249,60,109,324,681
id,18,wind,Chebang,1,Transcendence,25,25,25,113,25,25,113,245,139,139,579,931
id,18,wind,Chebang,1,Advent,73,88,88,133,162,187,177,262,670,750,685,1080
id,19,Earth,Defense,1,Know,14,29,58,161,7,14,51,102,99,199,275,595
id,19,Earth,Defense,1,Capsule,5,19,93,151,5,19,93,239,60,109,280,505
id,19,Earth,Defense,1,Awakening,10,29,98,161,10,29,54,293,60,109,148,329
id,19,Earth,Defense,1,Transcendence,25,25,69,157,25,25,113,245,139,139,403,755
id,19,Earth,Defense,1,Advent,125,140,140,185,178,208,193,283,473,530,488,785
id,20,Fire,Workshop,1,Know,14,29,58,161,7,14,51,102,99,199,275,595
id,20,Fire,Workshop,1,Capsule,5,19,93,239,5,19,93,151,60,109,280,505
id,20,Fire,Workshop,1,Awakening,10,29,98,249,10,29,98,205,60,109,148,329
id,20,Fire,Workshop,1,Transcendence,25,25,113,201,25,25,113,201,139,139,227,755
id,20,Fire,Workshop,1,Advent,147,167,162,242,158,183,173,243,420,480,435,720
id,21,light,Chebang,1,Know,14,29,58,161,7,14,51,102,99,199,275,595
id,21,light,Chebang,1,Capsule,5,19,93,151,5,19,49,195,60,109,456,681
id,21,light,Chebang,1,Awakening,10,29,54,117,10,29,142,249,60,109,324,681
id,21,light,Chebang,1,Transcendence,25,25,25,113,25,25,113,245,139,139,579,931
id,21,light,Chebang,1,Advent,73,88,88,133,162,187,177,262,670,750,685,1080
id,22,wind,Workshop,1,Know,14,29,58,161,7,14,51,102,99,199,275,595
id,22,wind,Workshop,1,Capsule,5,19,93,239,5,19,93,151,60,109,280,505
id,22,wind,Workshop,1,Awakening,10,29,98,249,10,29,98,205,60,109,148,329
id,22,wind,Workshop,1,Transcendence,25,25,113,201,25,25,113,201,139,139,227,755
id,22,wind,Workshop,1,Advent,147,167,162,242,158,183,173,243,420,480,435,720
id,23,water,Workshop,1,Know,14,29,58,161,7,14,51,102,99,199,275,595
id,23,water,Workshop,1,Capsule,5,19,93,239,5,19,93,151,60,109,280,505
id,23,water,Workshop,1,Awakening,10,29,98,249,10,29,98,205,60,109,148,329
id,23,water,Workshop,1,Transcendence,25,25,113,201,25,25,113,201,139,139,227,755
id,23,water,Workshop,1,Advent,147,167,162,242,158,183,173,243,420,480,435,720
id,24,water,Health,1,Know,14,29,58,161,7,14,51,102,99,199,275,595
id,24,water,Health,1,Capsule,5,19,93,151,5,19,49,107,60,109,588,1033
id,24,water,Health,1,Awakening,10,29,98,205,10,29,54,117,60,109,500,857
id,24,water,Health,1,Transcendence,25,25,69,157,25,25,69,157,139,139,579,1107
id,24,water,Health,1,Advent,116,131,131,176,116,131,131,176,727,847,742,1252
id,25,Earth,Health,1,Know,14,29,58,161,7,14,51,102,99,199,275,595
id,25,Earth,Health,1,Capsule,5,19,93,151,5,19,49,107,60,109,588,1033
id,25,Earth,Health,1,Awakening,10,29,98,205,10,29,54,117,60,109,500,857
id,25,Earth,Health,1,Transcendence,25,25,69,157,25,25,69,157,139,139,579,1107
id,25,Earth,Health,1,Advent,116,131,131,176,116,131,131,176,727,847,742,1252
id,26,Fire,Defense,1,Know,14,29,58,161,7,14,51,102,99,199,275,595
id,26,Fire,Defense,1,Capsule,5,19,93,151,5,19,93,239,60,109,280,505
id,26,Fire,Defense,1,Awakening,10,29,98,161,10,29,54,293,60,109,148,329
id,26,Fire,Defense,1,Transcendence,25,25,69,157,25,25,113,245,139,139,403,755
id,26,Fire,Defense,1,Advent,125,140,140,185,178,208,193,283,473,530,488,785
id,27,Fire,Workshop,1,Know,14,29,58,161,7,14,51,102,99,199,275,595
id,27,Fire,Workshop,1,Capsule,5,19,93,239,5,19,93,151,60,109,280,505
id,27,Fire,Workshop,1,Awakening,10,29,98,249,10,29,98,205,60,109,148,329
id,27,Fire,Workshop,1,Transcendence,25,25,113,201,25,25,113,201,139,139,227,755
id,28,Earth,Defense,1,Awakening,10,29,98,161,10,29,54,293,60,109,148,329
id,28,Earth,Defense,1,Transcendence,25,25,69,157,25,25,113,245,139,139,403,755
id,28,Earth,Defense,1,Advent,125,140,140,185,178,208,193,283,473,530,488,785
id,29,water,Defense,1,Know,14,29,58,161,7,14,51,102,99,199,275,595
id,29,water,Defense,1,Capsule,5,19,93,151,5,19,93,239,60,109,280,505
id,29,water,Defense,1,Awakening,10,29,98,161,10,29,54,293,60,109,148,329
id,29,water,Defense,1,Transcendence,25,25,69,157,25,25,113,245,139,139,403,755
id,29,water,Defense,1,Advent,125,140,140,185,178,208,193,283,473,530,488,785
id,30,wind,Workshop,1,Know,14,29,58,161,7,14,51,102,99,199,275,595
id,30,wind,Workshop,1,Capsule,5,19,93,239,5,19,93,151,60,109,280,505
id,30,wind,Workshop,1,Awakening,10,29,98,249,10,29,98,205,60,109,148,329
id,30,wind,Workshop,1,Transcendence,25,25,113,201,25,25,113,201,139,139,227,755
id,30,wind,Workshop,1,Advent,147,167,162,242,158,183,173,243,420,480,435,720
id,31,Fire,Workshop,1,Know,14,29,58,161,7,14,51,102,99,199,275,595
id,31,Fire,Workshop,1,Capsule,5,19,93,239,5,19,93,151,60,109,280,505
id,31,Fire,Workshop,1,Awakening,10,29,98,249,10,29,98,205,60,109,148,329
id,31,Fire,Workshop,1,Transcendence,25,25,113,201,25,25,113,201,139,139,227,755
id,31,Fire,Workshop,1,Advent,147,167,162,242,158,183,173,243,420,480,435,720
id,32,Earth,Defense,1,Know,14,29,58,161,7,14,51,102,99,199,275,595
id,32,Earth,Defense,1,Capsule,5,19,93,151,5,19,93,239,60,109,280,505
id,32,Earth,Defense,1,Awakening,10,29,98,161,10,29,54,293,60,109,148,329
id,32,Earth,Defense,1,Transcendence,25,25,69,157,25,25,113,245,139,139,403,755
id,32,Earth,Defense,1,Advent,125,140,140,185,178,208,193,283,473,530,488,785
id,33,wind,Health,1,Know,14,29,58,161,7,14,51,102,99,199,275,595
id,33,wind,Health,1,Capsule,5,19,93,151,5,19,49,107,60,109,588,1033
id,33,wind,Health,1,Awakening,10,29,98,205,10,29,54,117,60,109,500,857
id,33,wind,Health,1,Transcendence,25,25,69,157,25,25,69,157,139,139,579,1107
id,33,wind,Health,1,Advent,116,131,131,176,116,131,131,176,727,847,742,1252
id,34,Dark,Air,1,Know,14,29,58,161,7,14,51,102,104,209,280,605
id,34,Dark,Air,1,Capsule,5,19,93,239,5,19,49,107,60,109,456,681
id,34,Dark,Air,1,Awakening,10,29,142,249,10,29,54,117,60,109,324,681
id,34,Dark,Air,1,Transcendence,25,25,113,245,25,25,25,113,139,139,579,931
id,34,Dark,Air,1,Advent,162,187,177,262,73,88,88,133,670,750,685,1080
id,35,light,Chebang,1,Know,14,29,58,161,9,19,53,107,89,179,309,619
id,35,light,Chebang,1,Capsule,5,19,93,151,5,19,49,195,60,109,456,681
id,35,light,Chebang,1,Awakening,10,29,54,117,10,29,142,249,60,109,324,681
id,35,light,Chebang,1,Transcendence,25,25,25,113,25,25,113,245,139,139,579,931
id,35,light,Chebang,1,Advent,73,88,88,133,162,187,177,262,670,750,685,1080
id,36,light,Air,1,Know,14,29,58,161,9,19,53,107,89,179,309,619
id,36,light,Air,1,Capsule,5,19,93,239,5,19,49,107,60,109,456,681
id,36,light,Air,1,Awakening,10,29,142,249,10,29,54,117,60,109,324,681
id,36,light,Air,1,Transcendence,25,25,113,245,25,25,25,113,139,139,579,931
id,36,light,Air,1,Advent,162,187,177,262,73,88,88,133,670,750,685,1080
id,37,light,Health,1,Know,14,29,58,161,9,19,53,107,89,179,309,619
id,37,light,Health,1,Capsule,5,19,93,151,5,19,49,107,60,109,588,1033
id,37,light,Health,1,Awakening,10,29,98,205,10,29,54,117,60,109,500,857
id,37,light,Health,1,Transcendence,25,25,69,157,25,25,69,157,139,139,579,1107
id,37,light,Health,1,Advent,116,131,131,176,116,131,131,176,727,847,742,1252
id,38,light,Chebang,1,Know,14,29,58,161,9,19,53,107,89,179,309,619
id,38,light,Chebang,1,Capsule,5,19,93,151,5,19,49,195,60,109,456,681
id,38,light,Chebang,1,Awakening,10,29,54,117,10,29,142,249,60,109,324,681
id,38,light,Chebang,1,Transcendence,25,25,25,113,25,25,113,245,139,139,579,931
id,38,light,Chebang,1,Advent,73,88,88,133,162,187,177,262,670,750,685,1080
id,39,light,Air,1,Know,14,29,58,161,9,19,53,107,89,179,309,619
id,39,light,Air,1,Capsule,5,19,93,239,5,19,49,107,60,109,456,681
id,39,light,Air,1,Awakening,10,29,142,249,10,29,54,117,60,109,324,681
id,39,light,Air,1,Transcendence,25,25,113,245,25,25,25,113,139,139,579,931
id,39,light,Air,1,Advent,162,187,177,262,73,88,88,133,670,750,685,1080
id,40,light,Attack,1,Know,14,29,58,161,9,19,53,107,89,179,309,619
id,40,light,Attack,1,Capsule,5,19,137,283,5,19,49,107,60,109,280,505
id,40,light,Attack,1,Awakening,10,29,98,337,10,29,54,117,60,109,148,329
id,40,light,Attack,1,Transcendence,25,25,113,245,25,25,69,157,139,139,403,755
id,40,light,Attack,1,Advent,101,210,116,285,180,116,195,161,532,591,547,876
id,41,light,Chebang,1,Know,14,29,58,161,9,19,53,107,89,179,309,619
id,41,light,Chebang,1,Capsule,5,19,93,151,5,19,49,195,60,109,456,681
id,41,light,Chebang,1,Awakening,10,29,54,117,10,29,142,249,60,109,324,681
id,41,light,Chebang,1,Transcendence,25,25,25,113,25,25,113,245,139,139,579,931
id,41,light,Chebang,1,Advent,73,88,88,133,162,187,177,262,670,750,685,1080
id,42,water,Chebang,1,Know,14,29,58,161,9,19,53,107,89,179,309,619
id,42,water,Chebang,1,Capsule,5,19,93,151,5,19,49,195,60,109,456,681
id,42,water,Chebang,1,Awakening,10,29,54,117,10,29,142,249,60,109,324,681
id,42,water,Chebang,1,Transcendence,25,25,25,113,25,25,113,245,139,139,579,931
id,42,water,Chebang,1,Advent,73,88,88,133,162,187,177,262,670,750,685,1080
id,43,Dark,Attack,1,Know,17,34,61,166,7,14,51,102,89,179,309,619
id,43,Dark,Attack,1,Capsule,5,19,137,283,5,19,49,107,60,109,280,505
id,43,Dark,Attack,1,Awakening,10,29,98,337,10,29,54,117,60,109,148,329
id,43,Dark,Attack,1,Transcendence,25,25,113,245,25,25,69,157,139,139,403,755
id,43,Dark,Attack,1,Advent,101,210,116,285,180,116,195,161,532,591,547,876
id,44,Dark,Air,1,Know,17,34,61,166,7,14,51,102,89,179,309,619
id,44,Dark,Air,1,Capsule,5,19,93,239,5,19,49,107,60,109,456,681
id,44,Dark,Air,1,Awakening,10,29,142,249,10,29,54,117,60,109,324,681
id,44,Dark,Air,1,Transcendence,25,25,113,245,25,25,25,113,139,139,579,931
id,44,Dark,Air,1,Advent,162,187,177,262,73,88,88,133,670,750,685,1080
id,45,Dark,Air,1,Know,17,34,61,166,7,14,51,102,89,179,309,619
id,45,Dark,Air,1,Capsule,5,19,93,239,5,19,49,107,60,109,456,681
id,45,Dark,Air,1,Awakening,10,29,142,249,10,29,54,117,60,109,324,681
id,45,Dark,Air,1,Transcendence,25,25,113,245,25,25,25,113,139,139,579,931
id,45,Dark,Air,1,Advent,162,187,177,262,73,88,88,133,670,750,685,1080
id,46,Dark,Workshop,1,Know,17,34,61,166,7,14,51,102,89,179,309,619
id,46,Dark,Workshop,1,Capsule,5,19,93,239,5,19,93,151,60,109,280,505
id,46,Dark,Workshop,1,Awakening,10,29,98,249,10,29,98,205,60,109,148,329
id,46,Dark,Workshop,1,Transcendence,25,25,113,201,25,25,113,201,139,139,227,755
id,46,Dark,Workshop,1,Advent,147,167,162,242,158,183,173,243,420,480,435,720
id,47,Dark,Air,1,Know,17,34,61,166,7,14,51,102,89,179,309,619
id,47,Dark,Air,1,Capsule,5,19,93,239,5,19,49,107,60,109,456,681
id,47,Dark,Air,1,Awakening,10,29,142,249,10,29,54,117,60,109,324,681
id,47,Dark,Air,1,Transcendence,25,25,113,245,25,25,25,113,139,139,579,931
id,47,Dark,Air,1,Advent,162,187,177,262,73,88,88,133,670,750,685,1080
id,48,Dark,Attack,1,Know,17,34,61,166,7,14,51,102,89,179,309,619
id,48,Dark,Attack,1,Capsule,5,19,137,283,5,19,49,107,60,109,280,505
id,48,Dark,Attack,1,Awakening,10,29,98,337,10,29,54,117,60,109,148,329
id,48,Dark,Attack,1,Transcendence,25,25,113,245,25,25,69,157,139,139,403,755
id,48,Dark,Attack,1,Advent,101,210,116,285,180,116,195,161,532,591,547,876
id,49,Dark,Attack,1,Know,17,34,61,166,7,14,51,102,89,179,309,619
id,49,Dark,Attack,1,Capsule,5,19,137,283,5,19,49,107,60,109,280,505
id,49,Dark,Attack,1,Awakening,10,29,98,337,10,29,54,117,60,109,148,329
id,49,Dark,Attack,1,Transcendence,25,25,113,245,25,25,69,157,139,139,403,755
id,49,Dark,Attack,1,Advent,101,210,116,285,180,116,195,161,532,591,547,876
id,50,Earth,Health,1,Know,14,29,58,161,7,14,51,102,99,199,275,595
id,50,Earth,Health,1,Capsule,5,19,93,151,5,19,49,107,60,109,588,1033
id,50,Earth,Health,1,Awakening,10,29,98,205,10,29,54,117,60,109,500,857
id,50,Earth,Health,1,Transcendence,25,25,69,157,25,25,69,157,139,139,579,1107
id,50,Earth,Health,1,Advent,116,131,131,176,116,131,131,176,727,847,742,1252
id,51,Fire,Chebang,1,Know,14,29,58,161,7,14,51,102,99,199,275,595
id,51,Fire,Chebang,1,Capsule,5,19,93,151,5,19,49,195,60,109,456,681
id,51,Fire,Chebang,1,Awakening,10,29,54,117,10,29,142,249,60,109,324,681
id,51,Fire,Chebang,1,Transcendence,25,25,25,113,25,25,113,245,139,139,579,931
id,51,Fire,Chebang,1,Advent,73,88,88,133,162,187,177,262,670,750,685,1080
id,52,wind,Workshop,1,Know,14,29,58,161,7,14,51,102,99,199,275,595
id,52,wind,Workshop,1,Capsule,5,19,93,239,5,19,93,151,60,109,280,505
id,52,wind,Workshop,1,Awakening,10,29,98,249,10,29,98,205,60,109,148,329
id,52,wind,Workshop,1,Transcendence,25,25,113,201,25,25,113,201,139,139,227,755
id,52,wind,Workshop,1,Advent,147,167,162,242,158,183,173,243,420,480,435,720
id,53,Dark,Air,1,Know,9,19,97,195,9,19,53,151,89,179,309,619
id,53,Dark,Air,1,Capsule,5,19,93,239,5,19,49,107,60,109,456,681
id,53,Dark,Air,1,Awakening,10,29,142,249,10,29,54,117,60,109,324,681
id,53,Dark,Air,1,Transcendence,25,25,113,245,25,25,25,113,139,139,579,931
id,53,Dark,Air,1,Advent,162,187,177,262,73,88,88,133,670,750,685,1080
id,54,light,Chebang,1,Know,14,29,58,161,9,19,53,107,94,189,314,629
id,54,light,Chebang,1,Capsule,5,19,93,151,5,19,49,195,60,109,456,681
id,54,light,Chebang,1,Awakening,10,29,54,117,10,29,142,249,60,109,324,681
id,54,light,Chebang,1,Transcendence,25,25,25,113,25,25,113,245,139,139,579,931
id,54,light,Chebang,1,Advent,73,88,88,133,162,187,177,262,670,750,685,1080
id,55,Dark,Air,1,Know,14,29,58,161,14,29,58,117,94,189,314,629
id,55,Dark,Air,1,Capsule,5,19,93,239,5,19,49,107,60,109,456,681
id,55,Dark,Air,1,Awakening,10,29,142,249,10,29,54,117,60,109,324,681
id,55,Dark,Air,1,Transcendence,25,25,113,245,25,25,25,113,139,139,579,931
id,55,Dark,Air,1,Advent,162,187,177,262,73,88,88,133,670,750,685,1080
id,56,Dark,Attack,1,Know,14,29,58,161,14,29,58,117,94,189,314,629
id,56,Dark,Attack,1,Capsule,5,19,137,283,5,19,49,107,60,109,280,505
id,56,Dark,Attack,1,Awakening,10,29,98,337,10,29,54,117,60,109,148,329
id,56,Dark,Attack,1,Transcendence,25,25,113,245,25,25,69,157,139,139,403,755
id,56,Dark,Attack,1,Advent,101,210,116,285,180,116,195,161,532,591,547,876
id,57,Earth,Chebang,1,Know,14,29,58,161,14,29,58,117,94,189,314,629
id,57,Earth,Chebang,1,Capsule,5,19,93,151,5,19,49,195,60,109,456,681
id,57,Earth,Chebang,1,Awakening,10,29,54,117,10,29,142,249,60,109,324,681
id,57,Earth,Chebang,1,Transcendence,25,25,25,113,25,25,113,245,139,139,579,931
id,57,Earth,Chebang,1,Advent,73,88,88,133,162,187,177,262,670,750,685,1080
id,58,water,Attack,1,Know,14,29,58,161,14,29,58,117,94,189,314,629
id,58,water,Attack,1,Capsule,5,19,137,283,5,19,49,107,60,109,280,505
id,58,water,Attack,1,Awakening,10,29,98,337,10,29,54,117,60,109,148,329
id,58,water,Attack,1,Transcendence,25,25,113,245,25,25,69,157,139,139,403,755
id,58,water,Attack,1,Advent,101,210,116,285,180,116,195,161,532,591,547,876
id,59,wind,Health,1,Know,14,29,58,161,14,29,58,117,94,189,314,629
id,59,wind,Health,1,Capsule,5,19,93,151,5,19,49,107,60,109,588,1033
id,59,wind,Health,1,Awakening,10,29,98,205,10,29,54,117,60,109,500,857
id,59,wind,Health,1,Transcendence,25,25,69,157,25,25,69,157,139,139,579,1107
id,59,wind,Health,1,Advent,116,131,131,176,116,131,131,176,727,847,742,1252
id,60,Dark,Air,1,Know,14,29,58,161,14,29,58,117,94,189,314,629
id,60,Dark,Air,1,Capsule,5,19,93,239,5,19,49,107,60,109,456,681
id,60,Dark,Air,1,Awakening,10,29,142,249,10,29,54,117,60,109,324,681
id,60,Dark,Air,1,Transcendence,25,25,113,245,25,25,25,113,139,139,579,931
id,60,Dark,Air,1,Advent,162,187,177,262,73,88,88,133,670,750,685,1080
id,61,light,Health,1,Know,14,29,58,161,14,29,58,117,94,189,314,629
id,61,light,Health,1,Capsule,5,19,93,151,5,19,49,107,60,109,588,1033
id,61,light,Health,1,Awakening,10,29,98,205,10,29,54,117,60,109,500,857
id,61,light,Health,1,Transcendence,25,25,69,157,25,25,69,157,139,139,579,1107
id,61,light,Health,1,Advent,116,131,131,176,116,131,131,176,727,847,742,1252
id,62,Earth,Defense,1,Know,14,29,58,161,14,29,58,117,94,189,314,629
id,62,Earth,Defense,1,Capsule,5,19,93,151,5,19,93,239,60,109,280,505
id,62,Earth,Defense,1,Awakening,10,29,98,161,10,29,54,293,60,109,148,329
id,62,Earth,Defense,1,Transcendence,25,25,69,157,25,25,113,245,139,139,403,755
id,62,Earth,Defense,1,Advent,125,140,140,185,178,208,193,283,473,530,488,785
id,63,Earth,Workshop,1,Know,14,29,58,161,14,29,58,117,94,189,314,629
id,63,Earth,Workshop,1,Capsule,5,19,93,239,5,19,93,151,60,109,280,505
id,63,Earth,Workshop,1,Awakening,10,29,98,249,10,29,98,205,60,109,148,329
id,63,Earth,Workshop,1,Transcendence,25,25,113,201,25,25,113,201,139,139,227,755
id,63,Earth,Workshop,1,Advent,147,167,162,242,158,183,173,243,420,480,435,720
id,64,light,Workshop,1,Know,14,29,58,161,14,29,58,117,94,189,314,629
id,64,light,Workshop,1,Capsule,5,19,93,239,5,19,93,151,60,109,280,505
id,64,light,Workshop,1,Awakening,10,29,98,249,10,29,98,205,60,109,148,329
id,64,light,Workshop,1,Transcendence,25,25,113,201,25,25,113,201,139,139,227,755
id,64,light,Workshop,1,Advent,147,167,162,242,158,183,173,243,420,480,435,720
id,65,wind,Defense,1,Know,14,29,58,161,14,29,58,117,104,209,324,649
id,65,wind,Defense,1,Capsule,5,19,93,151,5,19,93,239,60,109,280,505
id,65,wind,Defense,1,Awakening,10,29,98,161,10,29,54,293,60,109,148,329
id,65,wind,Defense,1,Transcendence,25,25,69,157,25,25,113,245,139,139,403,755
id,65,wind,Defense,1,Advent,125,140,140,185,178,208,193,283,473,530,488,785
id,66,Dark,Attack,1,Know,14,29,58,161,14,29,58,117,104,209,324,649
id,66,Dark,Attack,1,Capsule,5,19,137,283,5,19,49,107,60,109,280,505
id,66,Dark,Attack,1,Awakening,10,29,98,337,10,29,54,117,60,109,148,329
id,66,Dark,Attack,1,Transcendence,25,25,113,245,25,25,69,157,139,139,403,755
id,66,Dark,Attack,1,Advent,101,210,116,285,180,116,195,161,532,591,547,876
