id,name,desc,dragon_images
11,Tail dragon,"Dragon with 7 tails. It lives mainly in swamps and lives as a staple fish. When it reaches adulthood, it uses its tail to catch an attack hammock. [Obtainable: Shipwreck ]","['http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/20160602141602201145837.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/20160602141602677809286.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/20160602141602726678976.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/201606021416031106494519.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/20160602141603646651309.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/tail_5.png']"
12,Water dragon,Dragon living in the water. Living by eating fish in the lake or sea. He has a docile personality and knows how to get along well with other animals. [Obtainable: Shipwreck ],"['http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/201606021418162108265830.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/20160602141816158027647.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/20160602141816111890016.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/201606021418172000630214.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/201606021418171649348104.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/20160602141817206003162.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/20160602141817499220515.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/202006221422191725525248.png']"
13,Hydragon,A dragon with three heads. Each of the three heads has a different reason. Each head often fights with each other. [Obtainable: Forest of Hope ],"['http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/201606021419021289791593.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/20160602141902692627399.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/20160602141903756738762.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/20160602141903230884337.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/20160602141903436470241.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/201606021419031428015757.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/202005191458281263432864.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/202005191458281002098021.png']"
14,Power dragon,"Dragon with the strongest power among dragons. The paws are very developed. The personality is gentle. From birth, it is born with tremendous power. [Available: Forest of Hope]","['http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/201606021419471962663699.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/20160602141947156522575.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/20160602141947508924073.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/20160602141948260574094.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/201606021419481848345978.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/201606021419481722142740.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/20160602141949675917318.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/20180723122415561845980.png']"
15,Rock dragon,A dragon that has a rock-like hardness. It does not feel the pain or sensation from the outside. The head is also hard. [Obtainable: Forest of Hope ],"['http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/201606021420311229421697.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/20160602142031756713835.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/20160602142031954667108.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/201606021420311707022829.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/201606021420321147362517.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/201606021420321597312428.png']"
16,Underground Tunnel Dragon,"Dragon living in the ground. Eyes are adapted to dark places, so they do not last long in bright places. They dig tunnels to move. Mainly eat food in the ground or come out on the ground at night. [Obtainable: Forest of Hope ]","['http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/20160602142113334450579.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/201606021421131738128053.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/201606021421141452783123.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/201606021421141056656446.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/201606021421141896403985.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/201606021421141578952887.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/201809191253091131831166.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/201809191253091757104614.png']"
17,Fairy dragon,It is a dragon called a fairy. It features beautiful wings and has a very colorful color. [Can be obtained: Old Castle Ruins ],"['http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/20160602142152371862927.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/201606021421522095737299.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/201606021421521626397798.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/201606021421531773882337.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/20160602142153898968195.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/201606021421531225288690.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/20200910181953471819150.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/20200910181953513167993.png']"
18,Lady dragon,"Unusually, only females are born. Dragon is characterized by a pink color and very gentle. Eyes are attractive. [Obtainable: Temple of the Wind ]","['http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/201606021422361271802360.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/201606021422361437762290.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/201606021422362007563582.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/201606021422361883243579.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/20160602142237793067004.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/201606021422371749196065.png']"
19,Egg dragon,I'm very timid and hide in the eggs when they are young. The eggs are very hard and merge with their wings as they grow up. It's hard to see them when they're young. [Available: Forest of Hope],"['http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/201606021423171308594946.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/20160602142318101001524.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/20160602142318876786710.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/201606021423181448230382.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/201606021423181336578187.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/20160602142319112953933.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/201807231228432052692528.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/201807231228431984753565.png']"
20,Hell dragon,Dragon with the flames of hell. Very ferocious and likes to break. It would be better to run away when meeting a Hell dragon. [Available: Mountain of Fire],"['http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/201606021423581168202256.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/20160602142359744392866.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/201606021423591492756124.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/201606021423591057394770.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/201606021423591782804648.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/201606021424001774590053.png']"
21,Angel dragon,A female of an ancient god dragon. Loves light and is very gentle. It is said to have the power of an angel. [Obtainable: Heavenly Temple ],"['http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/201606021424421674063794.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/20160602142443200403795.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/20160602142443380268080.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/2016060214244366487977.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/201606021424431432659720.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/201606021424441978151934.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/201606021424441710010670.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/20180723122923120137760.png']"
22,Alien dragon,"A dragon that looks like a space monster, it is said that it is a dragon that has the power of the universe. It appears in places close to the sky and in places that are more heavenly than the sky. [Available: Temple of the Wind]","['http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/20160602142524880056787.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/201606021425242006563515.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/201606021425241801413292.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/201606021425241349858873.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/20160602142525222809103.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/20160602142525223888210.png']"
23,Mini dragon,"As the proverb says, Small peppers are spicy, it should not be ignored. As a small adult, you can achieve high speed. [Obtainable: Rainbow Garden ]","['http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/201606021427391583034082.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/201606021427391702492633.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/201606021427391413753449.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/201606021427401686180760.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/201606021427401246851321.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/20160602142741786471809.png']"
24,Swamp Dragon,"It hides in the water and when food is found, it quickly comes out and eats it. The swamp dragon, which looks like an army tank, is superior to any dragon on land. If you make fun of it because it is ugly, you get angry. [Available: Rainbow Garden]","['http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/20160602142824204921418.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/201606021428251655916655.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/2016060214282554990314.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/20160602142825330963795.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/201606021428251868432743.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/20160602142826956385308.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/20170522142350392296613.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/201807231225292089102659.png']"
25,Pat Dragon,"When I was a baby, I hide because I have a lot of fear, but my body grows as I grow up. It looks very gentle and weak, but when food is stolen, it becomes violent and scares. [Available: Forest of Hope]","['http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/20160602142905580673844.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/20160602142905563895410.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/20160602142905794307213.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/20160602142905528860257.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/201606021429061501026948.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/20160602142906119552175.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/201710271423491861149407.png']"
26,Spike Dragon,"It is a Spike Dragon that is born with a sharp skin tissue all over the body. It has a solid skin, so it forms a strong defense form in any attack. [Available: Dry Plains]","['http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/20160602142946699116403.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/201606021429461709208938.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/20160602142947776043658.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/201606021429471987986029.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/201606021429471018368126.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/20160805123603233255060.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/20180323104329621192934.png']"
27,Insect Dragon,"The dragon lives on the honey contained in the flower. However, it is better to avoid it when the grumpy is nasty and the sting comes out. Once a sting made of fire is hit, the poison spreads all over the body and cannot move. [Available: Dry Plains]","['http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/20160602151813820009748.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/20160602151813476860529.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/20160602151814463547187.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/201606021518141607407337.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/2016060215181457474517.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/201710271820141757945225.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/201710271820141482101378.png']"
28,Leaf dragon,"This dragon, which seems to be enveloping a broad leaf, wraps around its own skin tissue when it is a baby, but it turns into a giant wing as it grows. It attacks sharply and with precision.","['http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/20160602151905957173852.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/20160602151905836383694.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/201606021519062884213.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/20160602151906772353903.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/20160602151906992906270.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/20160602151906511808287.png']"
29,Frog dragon,"It's hard to see eggs because they lay eggs in water. When you get angry, your cheek pockets get bigger. If your cheek pockets get bigger, it's best to avoid them! [Obtainable: Shipwreck ]","['http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/201606021519501152712901.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/20160602151950236548490.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/201606021519511921398643.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/20160602151951418171771.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/201606021519511516191199.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/201606021519511862982795.png']"
30,Winx Dragon,Winx that can freely move the wind! Small but huge wings give other dragons a sense of intimidation. A mysterious dragon that can be seen from the wings when viewed from a distance. [Available: Dry Plains],"['http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/201606021520391610558207.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/201606021520401707548888.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/2016060215204080232110.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/20160602152040266594464.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/201606021520401399142092.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/201606021520411215644058.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/201802281738557855299.png']"
31,Sand Dragon,"Sand dragon born in a desert hotter than fire. It looks like an earth line, but he is a fire line. You can sleep with sand hotter than a fireball. [Obtainable: Fire Mountain ]","['http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/201606021521151824982171.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/201606021521161783767054.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/201606021521162012551560.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/20160602152116358627579.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/20160602152116208425258.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/20171027142619960759962.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/201710271426202071146149.png']"
32,Smart dragon,"Since he was born, he has excellent IQ. E-dragon, who always carries a book with him, can get angry and attack if he can't read the book. If you pick it up, return it. [Available: Old Castle Ruins]","['http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/201606021521521176403765.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/20160602152152584832529.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/2016060215215366367123.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/201606021521531270015550.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/20160602152153956695456.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/20171027142906136755087.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/20171027142906387993120.png']"
33,Music dragon,"Dragon who loves music and sings. In fact, he is not good at singing. He attacks other dragons with ultrasonic waves from singing. Other dragons may surrender because of pain in their ears. [Available: Dry Plains]","['http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/201606021522271769672927.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/201606021522271110309411.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/20160602152227344252057.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/201606021522271638196772.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/20160602152228241508218.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/20190624104027681533800.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/20190624104028351659307.', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/201906241040281954630936.']"
34,Black dragon,It lives in inconspicuous places and is known as a dragon that is difficult to tame. Special dragons that cannot be obtained through exploration.,"['http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/20160602152439941999166.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/2016060215243913799887.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/201606021524391558714482.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/201606021524391644420639.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/20160602152440660227541.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/20160602152440362036070.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/2017082516055050615520.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/2020012218425969570934.png']"
35,Emerald dragon,"Dragon known as the guardian of light. In the world of light and darkness, he has maintained the balance of the world as a deputy of God. [Obtainable: Heavenly Temple ]","['http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/201606021525372111953049.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/201606021525381099134732.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/20160602152538991175138.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/201606021525381609431595.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/20160602152539799180489.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/20160602152539196726721.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/20180323104529320183526.png']"
